uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",M,5
AC,OUTRAS,HOSPITAL,"< 9",F,15
AC,OUTRAS,HOSPITAL,"< 9",M,3
AC,OUTRAS,OUTRO,"< 9",F,1
AC,OUTRAS,OUTRO,"< 9",M,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",M,4
AC,INDETERMINADA,HOSPITAL,"< 9",F,1
AC,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,6
AC,PNEUMONIA,DOMICILIO,"< 9",F,1
AC,PNEUMONIA,HOSPITAL,"< 9",F,6
AC,PNEUMONIA,HOSPITAL,"< 9",M,7
AC,SEPTICEMIA,HOSPITAL,"< 9",F,6
AC,SEPTICEMIA,HOSPITAL,"< 9",M,11
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,OUTRAS,DOMICILIO,"< 9",F,4
AL,OUTRAS,DOMICILIO,"< 9",M,6
AL,OUTRAS,HOSPITAL,"< 9",F,42
AL,OUTRAS,HOSPITAL,"< 9",I,2
AL,OUTRAS,HOSPITAL,"< 9",M,36
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,OUTRAS,VIA_PUBLICA,"< 9",F,1
AL,COVID,HOSPITAL,"< 9",F,4
AL,COVID,HOSPITAL,"< 9",M,5
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,4
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,3
AL,PNEUMONIA,DOMICILIO,"< 9",M,1
AL,PNEUMONIA,HOSPITAL,"< 9",F,7
AL,PNEUMONIA,HOSPITAL,"< 9",M,2
AL,SEPTICEMIA,HOSPITAL,"< 9",F,15
AL,SEPTICEMIA,HOSPITAL,"< 9",M,15
AL,SRAG,HOSPITAL,"< 9",F,1
AM,OUTRAS,DOMICILIO,"< 9",F,7
AM,OUTRAS,DOMICILIO,"< 9",M,6
AM,OUTRAS,HOSPITAL,"< 9",F,48
AM,OUTRAS,HOSPITAL,"< 9",M,100
AM,OUTRAS,OUTRO,"< 9",M,3
AM,OUTRAS,VIA_PUBLICA,"< 9",F,1
AM,COVID,HOSPITAL,"< 9",F,7
AM,COVID,HOSPITAL,"< 9",M,11
AM,COVID,OUTRO,"< 9",F,3
AM,INDETERMINADA,DOMICILIO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,9
AM,PNEUMONIA,HOSPITAL,"< 9",F,8
AM,PNEUMONIA,HOSPITAL,"< 9",M,8
AM,SEPTICEMIA,HOSPITAL,"< 9",F,28
AM,SEPTICEMIA,HOSPITAL,"< 9",M,35
AM,SEPTICEMIA,OUTRO,"< 9",M,2
AM,SRAG,HOSPITAL,"< 9",M,2
AP,OUTRAS,DOMICILIO,"< 9",F,1
AP,OUTRAS,HOSPITAL,"< 9",F,6
AP,OUTRAS,HOSPITAL,"< 9",M,7
AP,OUTRAS,OUTRO,"< 9",M,1
AP,COVID,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,1
AP,PNEUMONIA,HOSPITAL,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",F,5
AP,SEPTICEMIA,HOSPITAL,"< 9",M,3
AP,SRAG,HOSPITAL,"< 9",F,1
AP,SRAG,HOSPITAL,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,7
BA,OUTRAS,DOMICILIO,"< 9",M,14
BA,OUTRAS,HOSPITAL,"< 9",F,117
BA,OUTRAS,HOSPITAL,"< 9",I,3
BA,OUTRAS,HOSPITAL,"< 9",M,156
BA,OUTRAS,OUTRO,"< 9",F,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,6
BA,COVID,HOSPITAL,"< 9",F,9
BA,COVID,HOSPITAL,"< 9",M,8
BA,COVID,OUTRO,"< 9",M,1
BA,INDETERMINADA,HOSPITAL,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,38
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,58
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
BA,PNEUMONIA,HOSPITAL,"< 9",F,7
BA,PNEUMONIA,HOSPITAL,"< 9",M,16
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,SEPTICEMIA,DOMICILIO,"< 9",M,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,53
BA,SEPTICEMIA,HOSPITAL,"< 9",M,54
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
BA,SRAG,HOSPITAL,"< 9",F,4
BA,SRAG,HOSPITAL,"< 9",M,4
CE,OUTRAS,DOMICILIO,"< 9",F,1
CE,OUTRAS,DOMICILIO,"< 9",M,5
CE,OUTRAS,HOSPITAL,"< 9",F,107
CE,OUTRAS,HOSPITAL,"< 9",I,4
CE,OUTRAS,HOSPITAL,"< 9",M,121
CE,OUTRAS,IGNORADO,"< 9",F,7
CE,OUTRAS,IGNORADO,"< 9",M,13
CE,OUTRAS,OUTRO,"< 9",F,3
CE,OUTRAS,OUTRO,"< 9",M,1
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,OUTRAS,VIA_PUBLICA,"< 9",M,3
CE,COVID,HOSPITAL,"< 9",F,9
CE,COVID,HOSPITAL,"< 9",M,7
CE,INDETERMINADA,DOMICILIO,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,1
CE,INDETERMINADA,HOSPITAL,"< 9",M,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,4
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,7
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,4
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,5
CE,PNEUMONIA,HOSPITAL,"< 9",M,5
CE,PNEUMONIA,IGNORADO,"< 9",M,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",F,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,15
CE,SEPTICEMIA,HOSPITAL,"< 9",M,36
CE,SEPTICEMIA,IGNORADO,"< 9",F,6
CE,SEPTICEMIA,IGNORADO,"< 9",M,2
CE,SEPTICEMIA,OUTRO,"< 9",F,1
DF,OUTRAS,DOMICILIO,"< 9",F,1
DF,OUTRAS,HOSPITAL,"< 9",F,34
DF,OUTRAS,HOSPITAL,"< 9",M,44
DF,OUTRAS,IGNORADO,"< 9",F,5
DF,OUTRAS,IGNORADO,"< 9",M,1
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
DF,OUTRAS,VIA_PUBLICA,"< 9",F,1
DF,COVID,HOSPITAL,"< 9",M,2
DF,INDETERMINADA,HOSPITAL,"< 9",F,1
DF,INDETERMINADA,HOSPITAL,"< 9",M,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,10
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,6
DF,PNEUMONIA,HOSPITAL,"< 9",F,1
DF,PNEUMONIA,HOSPITAL,"< 9",M,2
DF,SEPTICEMIA,DOMICILIO,"< 9",F,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,12
DF,SEPTICEMIA,HOSPITAL,"< 9",M,21
ES,OUTRAS,DOMICILIO,"< 9",F,4
ES,OUTRAS,DOMICILIO,"< 9",M,3
ES,OUTRAS,HOSPITAL,"< 9",F,25
ES,OUTRAS,HOSPITAL,"< 9",M,31
ES,OUTRAS,VIA_PUBLICA,"< 9",M,1
ES,COVID,HOSPITAL,"< 9",F,2
ES,COVID,HOSPITAL,"< 9",M,3
ES,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,6
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,4
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,7
ES,PNEUMONIA,HOSPITAL,"< 9",M,5
ES,SEPTICEMIA,HOSPITAL,"< 9",F,12
ES,SEPTICEMIA,HOSPITAL,"< 9",M,27
ES,SRAG,HOSPITAL,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,3
GO,OUTRAS,DOMICILIO,"< 9",M,4
GO,OUTRAS,HOSPITAL,"< 9",F,30
